0        1        2        3        4        5        6        7
11000011 11110010 00011001 11101100 00111001 10000011 01111110 00010111
11000011 11110100 00011101 11101100 00111001 10000011 01111100 00110111
11000011 11110110 00011101 11101100 00111001 10000011 00111110 00010111
11000011 11100000 00011001 11101100 00111001 10001011 00100100 00010111
11000011 11100010 00011001 11101100 00111001 10001011 00100110 00110111
01000001 11100100 01011101 11101100 00111000 10111011 01100000 00010111
01000001 11100110 01011101 11101100 00111000 10111011 01100010 00110111
01000001 11100000 01011001 11101100 00111000 10110011 00101000 00010111
01000001 11100010 01011001 11101100 00111000 10110011 00101010 00110111
11000001 11100100 01011101 11101100 00111000 10110011 01101000 00010111
11000001 11100110 01011101 11101100 00111000 10110011 01101010 00110111
11000001 11010000 01011001 11101100 00111000 10111011 00110000 00010111
11000001 11010010 01011001 11101100 00111000 10111011 00110010 00110111
01000001 11010100 01011101 11101100 00111001 10101011 01110000 00010111
01000001 11010110 01011101 11101100 00111001 10101011 01110010 00110111
01000001 11010000 01011001 11101100 00111001 10100011 00111000 00010111
01000001 11010010 01011001 11101100 00111001 10100011 00111010 00110111
11000001 11010100 01011101 11101100 00111001 10100011 01111000 00010111
11000001 11010110 01011101 11101100 00111001 10100011 01111010 00110111
11000001 11000000 01011001 11101100 00111001 10101011 01100000 00110111
11000001 11000010 01011001 11101100 00111001 10101011 00100010 00010111
11000001 11000100 01011101 11101100 00111001 10101011 00100000 00110111
01000011 11000110 01011101 11101100 00111000 10011011 01100010 00010111
01000011 11000000 01011001 11101100 00111000 10010011 01101000 00110111
01000011 11000010 01011001 11101100 00111000 10010011 00101010 00010111
01000011 11000100 01011101 11101100 00111000 10010011 00101000 00110111
11000011 11000110 01011101 11101100 00111000 10010011 01101010 00010111
11000011 10110000 01011001 11101100 00111000 10011011 01110000 00110111
11000011 10110010 01011001 11101100 00111000 10011011 00110010 00010111
11000011 10110100 01011101 11101100 00111000 10011011 00110000 00110111
01000011 10110110 01011101 11101100 00111001 10001011 01110010 00010111
01000011 10110000 01011001 11101100 00111001 10000011 01111000 00110111
01000011 10110010 01011001 11101100 00111001 10000011 00111010 00010111
01000011 10110100 01011101 11101100 00111001 10000011 00111000 00110111
11000011 10110110 01011101 11101100 00111001 10000011 01111010 00010111
11000011 10100000 01011001 11101100 00111001 10001011 01100000 00010111
11000011 10100010 01011001 11101100 00111001 10001011 01100010 00110111
11000011 10100100 01011101 11101100 00111001 10001011 00100000 00010111
11000011 10100110 01011101 11101100 00111001 10001011 00100010 00110111
01000001 10100000 01011001 11101100 00111000 10000011 01101100 00011111
01000001 10100010 01011001 11101100 00111000 10000011 01101110 00111111
01000001 10100100 01011101 11101100 00111000 10000011 00101100 00011111
01000001 10100110 01011101 11101100 00111000 10000011 00101110 00111111
11000001 10010000 01011001 11101100 00111000 10001011 01110100 00011111
11000001 10010010 01011001 11101100 00111000 10001011 01110110 00111111
11000001 10010100 01011101 11101100 00111000 10001011 00110100 00011111
11000001 10010110 01011101 11101100 00111000 10001011 00110110 00111111
01000001 10010000 00011101 11101100 10111001 10110011 01110111 00011111
01000001 10010010 00011001 11101100 10111001 10110011 01111101 00111111
01000001 10010100 00011001 11101100 10111001 10110011 00111111 00011111
01000001 10010110 00011101 11101100 10111001 10110011 00111101 00111111
11000001 10000000 00011101 11101100 10111001 10111011 01111111 00011111
11000001 10000010 00011001 11101100 10111001 10111011 01100101 00011111
11000001 10000100 00011001 11101100 10111001 10111011 01100111 00111111
11000001 10000110 00011101 11101100 10111001 10111011 00100101 00011111
11000001 10000000 00011101 11101100 10111001 10110011 00100111 00111111
01000011 10000010 00011001 11101100 10111000 10100011 01101101 00011111
01000011 10000100 00011001 11101100 10111000 10100011 01101111 00111111
01000011 10000110 00011101 11101100 10111000 10100011 00101101 00011111
01000011 11110000 00011101 11101100 10111000 10101011 10101111 00111111
11000011 11110010 00011001 11101100 10111000 10101011 11110101 00011111
11000011 11110100 00011001 11101100 10111000 10101011 11110111 00111111
11000011 11110110 00011101 11101100 10111000 10101011 10110101 00011111
11000011 11110000 00011101 11101100 10111000 10100011 10110111 00111111
01000011 11110010 00011001 11101100 10111001 10010011 11111101 00011111
01000011 11110100 00011001 11101100 10111001 10010011 11111111 00111111
01000011 11110110 00011101 11101100 10111001 10010011 10111101 00011111
01000011 11100000 00011101 11101100 10111001 10011011 10111111 00111111
01000011 11100010 00011001 11101100 10111001 10011011 10100101 00111111
11000011 11100100 00011001 11101100 10111001 10011011 11100111 00011111
11000011 11100110 00011101 11101100 10111001 10011011 11100101 00111111
11000011 11100000 00011101 11101100 10111001 10010011 10100111 00011111
11000011 11100010 00011001 11101100 10111001 10010011 10101101 00111111
01000001 11100100 00011001 11101100 10111000 10000011 11101011 00011111
01000001 11100110 00011101 11101100 10111000 10000011 11101001 00111111
01000001 11010000 00011101 11101100 10111000 10001011 10101011 00011111
01000001 11010010 00011001 11101100 10111000 10001011 10110001 00111111
11000001 11010100 00011001 11101100 10111000 10001011 11110011 00011111
11000001 11010110 00011101 11101100 10111000 10001011 11110001 00111111
11000001 11010000 00011101 11101100 10111000 10000011 10110011 00011111
11000001 11010010 00011001 11101100 10111000 10000011 10111001 00111111
01000001 11010100 01011001 11101100 10111001 10110011 11111011 00011111
01000001 11010110 01011101 11101100 10111001 10110011 11111001 00111111
01000001 11000000 01011101 11101100 10111001 10111011 10111011 00011111
01000001 11000010 01011001 11101100 10111001 10111011 10100001 00011111
01000001 11000100 01011001 11101100 10111001 10111011 10100011 00111111
11000001 11000110 01011101 11101100 10111001 10111011 11100001 00011111
11000001 11000000 01011101 11101100 10111001 10110011 11100011 00111111
11000001 11000010 01011001 11101100 10111001 10110011 10101001 00011111
11000001 11000100 01011001 11101100 10111001 10110011 10101011 00111111
01000011 11000110 01011101 11101100 10111000 10100011 11101001 00011111
01000011 10110000 01011101 11101100 10111000 10101011 11101011 00111111
01000011 10110010 01011001 11101100 10111000 10101011 10110001 00011111
01000011 10110100 01011001 11101100 10111000 10101011 10110011 00111111
11000011 10110110 01011101 11101100 10111000 10101011 11110001 00011111
11000011 10110000 01011101 11101100 10111000 10100011 11110011 00111111
11000011 10110010 01011001 11101100 10111000 10100011 10111001 00011111
11000011 10110100 01011001 11101100 10111000 10100011 10111011 00111111
01000011 10110110 01011101 11101100 10111001 10010011 11111001 00011111
01000011 10100000 01011101 11101100 10111001 10011011 11111011 00111111
01000011 10100010 01011001 11101100 10111001 10011011 11100001 00111111
01000011 10100100 01011001 11101100 10111001 10011011 10100011 00011111
01000011 10100110 01011101 11101100 10111001 10011011 10100001 00111111
11000011 10100000 01011101 11101100 10111001 10010011 11100011 00011111
11000011 10100010 01011001 11101100 10111001 10010011 11101001 00111111
11000011 10100100 01011001 11101100 10111001 10010011 10101011 00011111
11000011 10100110 01011101 11101100 10111001 10010011 10101001 00111111
01000001 10010000 01011101 11101100 10111000 10001011 11101111 00010111
01000001 10010010 01011001 11101100 10111000 10001011 11110101 00110111
01000001 10010100 01011001 11101100 10111000 10001011 10110111 00010111
01000001 10010110 01011101 11101100 10111000 10001011 10110101 00110111
11000001 10010000 01011101 11101100 10111000 10000011 11110111 00010111
11000001 10010010 01011001 11101100 10111000 10000011 11111101 00110111
11000001 10010100 01011001 11101100 10111000 10000011 10111111 00010111
11000001 10010110 01011101 11101100 10111000 10000011 10111101 00110111
01000001 10000000 00011101 11101100 00111001 10111011 11111111 00010111
01000001 10000010 00011001 11101100 00111001 10111011 11100101 00010111
01000001 10000100 00011001 11101100 00111001 10111011 11100111 00110111
01000001 10000110 00011101 11101100 00111001 10111011 10100101 00010111
01000001 10000000 00011101 11101100 00111001 10110011 10100111 00110111
11000001 10000010 00011001 11101100 00111001 10110011 11101101 00010111
11000001 10000100 00011001 11101100 00111001 10110011 11101111 00110111
11000001 10000110 00011101 11101100 00111001 10110011 10101101 00010111
11000001 11110000 00011100 11101100 00111001 10111011 00101111 00110111
01000011 11110010 00011000 11101100 00111000 10101011 01110101 00010111
01000011 11110100 00011000 11101100 00111000 10101011 01110111 00110111
01000011 11110110 00011100 11101100 00111000 10101011 00110101 00010111
01000011 11110000 00011100 11101100 00111000 10100011 00110111 00110111
11000011 11110010 00011000 11101100 00111000 10100011 01111101 00010111
11000011 11110100 00011000 11101100 00111000 10100011 01111111 00110111
11000011 11110110 00011100 11101100 00111000 10100011 00111101 00010111
11000011 11100000 00011100 11101100 00111000 10101011 00111111 00110111
11000011 11100010 00011000 11101100 00111000 10101011 00100101 00110111
01000011 11100100 00011000 11101100 00111001 10011011 01100111 00010111
01000011 11100110 00011100 11101100 00111001 10011011 01100101 00110111
01000011 11100000 00011100 11101100 00111001 10010011 00100111 00010111
